Hari,S,I,R
0.00,999990.00,10.00,0.00
1.00,999988.34,10.39,1.27
2.00,999986.61,10.79,2.60
3.00,999984.82,11.21,3.97
4.00,999982.96,11.64,5.40
5.00,999981.02,12.09,6.88
6.00,999979.02,12.56,8.42
7.00,999976.93,13.05,10.02
8.00,999974.76,13.55,11.69
9.00,999972.51,14.08,13.41
10.00,999970.17,14.62,15.21
11.00,999967.74,15.19,17.07
12.00,999965.22,15.78,19.00
13.00,999962.60,16.39,21.01
14.00,999959.88,17.02,23.10
15.00,999957.05,17.68,25.27
16.00,999954.11,18.37,27.52
17.00,999951.06,19.08,29.86
18.00,999947.89,19.82,32.29
19.00,999944.60,20.58,34.82
20.00,999941.18,21.38,37.44
21.00,999937.63,22.21,40.17
22.00,999933.94,23.07,43.00
23.00,999930.10,23.96,45.93
24.00,999926.12,24.89,48.99
25.00,999921.99,25.85,52.16
26.00,999917.69,26.85,55.45
27.00,999913.23,27.89,58.87
28.00,999908.60,28.97,62.43
29.00,999903.79,30.10,66.12
30.00,999898.79,31.26,69.95
31.00,999893.59,32.47,73.94
32.00,999888.20,33.73,78.07
33.00,999882.60,35.03,82.37
34.00,999876.78,36.39,86.83
35.00,999870.73,37.80,91.47
36.00,999864.45,39.26,96.28
37.00,999857.93,40.78,101.29
38.00,999851.16,42.36,106.48
39.00,999844.12,44.00,111.88
40.00,999836.81,45.70,117.48
41.00,999829.22,47.47,123.31
42.00,999821.34,49.31,129.36
43.00,999813.15,51.22,135.64
44.00,999804.64,53.20,142.16
45.00,999795.80,55.26,148.94
46.00,999786.63,57.40,155.98
47.00,999777.09,59.62,163.29
48.00,999767.19,61.92,170.89
49.00,999756.91,64.32,178.78
50.00,999746.22,66.81,186.97
51.00,999735.13,69.39,195.48
52.00,999723.60,72.08,204.32
53.00,999711.63,74.86,213.51
54.00,999699.20,77.76,223.04
55.00,999686.28,80.77,232.95
56.00,999672.87,83.89,243.24
57.00,999658.94,87.14,253.93
58.00,999644.46,90.51,265.03
59.00,999629.43,94.01,276.56
60.00,999613.82,97.64,288.54
61.00,999597.61,101.42,300.98
62.00,999580.77,105.34,313.90
63.00,999563.27,109.41,327.32
64.00,999545.11,113.64,341.26
65.00,999526.24,118.03,355.73
66.00,999506.64,122.59,370.77
67.00,999486.28,127.33,386.39
68.00,999465.14,132.25,402.61
69.00,999443.18,137.36,419.46
70.00,999420.37,142.67,436.96
71.00,999396.69,148.18,455.13
72.00,999372.09,153.90,474.01
73.00,999346.53,159.85,493.62
74.00,999320.00,166.02,513.98
75.00,999292.44,172.43,535.13
76.00,999263.81,179.09,557.10
77.00,999234.08,186.00,579.92
78.00,999203.21,193.18,603.61
79.00,999171.14,200.64,628.22
80.00,999137.84,208.38,653.78
81.00,999103.25,216.42,680.33
82.00,999067.33,224.77,707.90
83.00,999030.03,233.44,736.53
84.00,998991.29,242.44,766.27
85.00,998951.06,251.79,797.16
86.00,998909.27,261.49,829.23
87.00,998865.88,271.57,862.55
88.00,998820.82,282.04,897.14
89.00,998774.03,292.90,933.07
90.00,998725.43,304.18,970.39
91.00,998674.96,315.90,1009.14
92.00,998622.56,328.06,1049.38
93.00,998568.14,340.69,1091.17
94.00,998511.63,353.80,1134.57
95.00,998452.94,367.41,1179.64
96.00,998392.01,381.55,1226.45
97.00,998328.73,396.22,1275.05
98.00,998263.03,411.45,1325.52
99.00,998194.80,427.26,1377.94
100.00,998123.96,443.68,1432.37
101.00,998050.40,460.72,1488.88
102.00,997974.02,478.41,1547.57
103.00,997894.72,496.77,1608.51
104.00,997812.38,515.83,1671.79
105.00,997726.89,535.61,1737.50
106.00,997638.12,556.15,1805.73
107.00,997545.97,577.46,1876.57
108.00,997450.29,599.58,1950.13
109.00,997350.96,622.54,2026.50
110.00,997247.83,646.37,2105.80
111.00,997140.77,671.10,2188.13
112.00,997029.63,696.76,2273.61
113.00,996914.25,723.39,2362.36
114.00,996794.48,751.02,2454.50
115.00,996670.15,779.69,2550.16
116.00,996541.09,809.44,2649.47
117.00,996407.12,840.31,2752.57
118.00,996268.07,872.34,2859.59
119.00,996123.74,905.56,2970.70
120.00,995973.94,940.03,3086.04
121.00,995818.46,975.78,3205.76
122.00,995657.09,1012.87,3330.04
123.00,995489.62,1051.34,3459.04
124.00,995315.82,1091.25,3592.93
125.00,995135.46,1132.63,3731.91
126.00,994948.30,1175.55,3876.15
127.00,994754.08,1220.05,4025.86
128.00,994552.56,1266.20,4181.24
129.00,994343.46,1314.06,4342.48
130.00,994126.51,1363.67,4509.82
131.00,993901.42,1415.10,4683.48
132.00,993667.90,1468.43,4863.68
133.00,993425.64,1523.70,5050.66
134.00,993174.33,1580.98,5244.69
135.00,992913.65,1640.36,5446.00
136.00,992643.25,1701.88,5654.86
137.00,992362.80,1765.64,5871.56
138.00,992071.93,1831.70,6096.37
139.00,991770.27,1900.14,6329.59
140.00,991457.45,1971.04,6571.51
141.00,991133.07,2044.48,6822.45
142.00,990796.72,2120.54,7082.74
143.00,990447.99,2199.31,7352.70
144.00,990086.45,2280.87,7632.68
145.00,989711.65,2365.31,7923.04
146.00,989323.14,2452.73,8224.13
147.00,988920.44,2543.21,8536.35
148.00,988503.07,2636.86,8860.07
149.00,988070.53,2733.77,9195.70
150.00,987622.32,2834.03,9543.65
151.00,987157.90,2937.75,9904.35
152.00,986676.73,3045.03,10278.24
153.00,986178.26,3155.98,10665.76
154.00,985661.91,3270.70,11067.39
155.00,985127.10,3389.30,11483.60
156.00,984573.23,3511.89,11914.88
157.00,983999.67,3638.58,12361.74
158.00,983405.81,3769.48,12824.70
159.00,982791.00,3904.71,13304.29
160.00,982154.56,4044.37,13801.07
